eval,image_name,legacy_tsv_uid_source,order_index,probe,role,source_path,split_mode
False,0003.jpg,intrinsic,1,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0004.jpg,intrinsic,2,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0005.jpg,intrinsic,3,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0006.jpg,intrinsic,4,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0007.jpg,intrinsic,5,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0008.jpg,intrinsic,6,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0010.jpg,intrinsic,7,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0011.jpg,intrinsic,8,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0012.jpg,intrinsic,9,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0013.jpg,intrinsic,10,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0014.jpg,intrinsic,11,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0015.jpg,intrinsic,12,clean_direct_frozen,train,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0001.jpg,intrinsic,0,clean_direct_frozen,test,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0009.jpg,intrinsic,1,clean_direct_frozen,test,G:\wl3dgs\3dgs_undistorted\max1600\self_Trackmobile_4650TM_Mobile_Railcar_Mover,frozen_manifest
False,0002.jpg,intrinsic,0,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0003.jpg,intrinsic,1,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0004.jpg,intrinsic,2,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0005.jpg,intrinsic,3,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0006.jpg,intrinsic,4,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0007.jpg,intrinsic,5,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0008.jpg,intrinsic,6,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0010.jpg,intrinsic,7,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0011.jpg,intrinsic,8,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0012.jpg,intrinsic,9,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0013.jpg,intrinsic,10,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0014.jpg,intrinsic,11,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0015.jpg,intrinsic,12,clean_adapter_frozen,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0001.jpg,intrinsic,0,clean_adapter_frozen,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
False,0009.jpg,intrinsic,1,clean_adapter_frozen,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,frozen_manifest
True,0002.jpg,extrinsic,0,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0003.jpg,extrinsic,1,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0004.jpg,extrinsic,2,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0005.jpg,extrinsic,3,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0006.jpg,extrinsic,4,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0007.jpg,extrinsic,5,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0008.jpg,extrinsic,6,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0010.jpg,extrinsic,7,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0011.jpg,extrinsic,8,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0012.jpg,extrinsic,9,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0013.jpg,extrinsic,10,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0014.jpg,extrinsic,11,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0015.jpg,extrinsic,12,clean_adapter_legacy_tsv,train,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0001.jpg,extrinsic,0,clean_adapter_legacy_tsv,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
True,0009.jpg,extrinsic,1,clean_adapter_legacy_tsv,test,G:\wl3dgs\3dgs_runs\external_baselines_20260620\adapters\gs_w\self_Trackmobile_4650TM_Mobile_Railcar_Mover\dense,legacy
